Total_Amount_USD,Actual_Tip_USD,Predicted_Tip_USD
24.89,50.733,13.626251088471918
17.37,5.167,1.767370651050875
45.449999999999996,4.367,7.853333458034314
19.59,13.95,11.936463983794184
28.220000000000002,5.283,7.234807695093359
20.94,3.267,10.24005349926989
22.86,12.5,6.699999394018484
26.48,8.467,9.704157460634875
30.689999999999998,0.65,9.65967231907134
68.85000000000001,20.4,5.448460851979391
26.14,24.517,13.709107962180283
25.42,5.85,11.5268139901914
46.7,0.883,7.361978523152281
29.2,9.633,9.327312646481701
27.63,13.9,11.262501210646
12.82,0.217,11.487711155789647
39.07,0.0,9.532780486790102
89.99000000000001,8.383,16.602963111049633
20.64,2.583,9.807055543837244
27.060000000000002,0.783,9.493859307584565
8.46,14.883,11.039915450927921
25.96,9.2,5.333213840143202
16.07,12.5,13.041612987585651
18.3,7.933,10.81417247023991
17.04,12.667,11.317705439973174
18.41,18.817,13.196721055167721
33.21,17.433,10.996031258631504
22.970000000000002,8.05,12.160508970301613
18.759999999999998,13.617,9.290053597283674
22.35,0.0,13.457885921096505
19.66,21.167,13.377198117547785
38.45,11.35,13.186608494306078
55.790000000000006,1.633,7.836982192999152
24.82,0.0,10.657380251145398
19.58,13.3,11.935801128804513
47.64,19.567,15.134246189964266
20.11,6.117,11.328843005346648
22.86,2.3,11.486002715114864
12.17,43.633,11.444625581461288
48.82,3.383,8.79129980374379
20.85,12.383,13.358457672646459
20.11,5.733,10.892913860694655
34.93,11.75,14.291757498097553
43.410000000000004,11.817,14.951478718006832
23.3,5.867,11.564458672477578
42.87,15.1,13.479590399738882
35.910000000000004,4.367,9.845931207347533
30.87,8.467,8.916744618981696
28.26,8.45,10.627643163034413
34.19,15.9,14.242706228862197
40.65,17.783,14.670910552187053
24.240000000000002,17.717,9.555677942949472
31.400000000000002,16.283,14.057769686745111
100.32,4.033,7.334051612864663
49.57,9.8,8.816849002541645
16.94,2.767,11.770210473192627
39.7,5.967,14.705559516840388
20.369999999999997,30.833,8.752375239228996
21.7,20.2,9.853153247314772
27.52,2.133,10.756761833894636
36.08,0.833,9.461157873677053
22.240000000000002,17.483,13.548214704881865
21.79,19.2,11.535901858356326
26.68,0.0,6.411976217624911
49.25,5.083,15.24096584330065
43.75,34.433,14.97401578765551
58.58,22.933,5.445287176515052
23.5,8.817,10.055325470359548
34.63,0.5,7.262695388012027
55.81999999999999,7.483,12.552091703228271
38.980000000000004,11.6,8.793812053925777
