Store_dma_id,Rack_time,To_the_door_time,Otd_time,Source_actor,Destination_type,Subtotal_amount_USD,Tip_USD,Store_postal_code,Store_zip4_code,Area_sqmi,Businesses,Avg_income,Store_locale_name
541,0.15,,11.767,Desktop Web,Delivery,51.7,7.01,40508,3089,6.10845,3269,62508.0,City - Large
541,1.533,,9.483,Traditional,Delivery,24.98,1.0,40508,3089,6.10845,3269,62508.0,City - Large
541,0.15,9.967,6.35,Traditional,Delivery,16.08,5.0,40508,3089,6.10845,3269,62508.0,City - Large
541,7.233,23.35,15.783,iOS,Delivery,20.26,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,6.55,34.867,14.75,iOS,Delivery,13.98,1.35,40508,3089,6.10845,3269,62508.0,City - Large
541,6.65,25.133,14.2,iOS,Delivery,22.27,2.59,40508,3089,6.10845,3269,62508.0,City - Large
541,2.417,31.517,18.067,iOS,Delivery,45.13,7.65,40508,3089,6.10845,3269,62508.0,City - Large
541,3.017,33.167,14.833,iOS,Delivery,32.96,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,2.3,31.483,15.083,iOS,Delivery,49.0,6.6,40508,3089,6.10845,3269,62508.0,City - Large
541,2.383,,14.317,iOS,Delivery,17.08,1.0,40508,3089,6.10845,3269,62508.0,City - Large
541,1.817,21.15,8.333,iOS,Delivery,13.98,1.35,40508,3089,6.10845,3269,62508.0,City - Large
541,1.05,13.333,9.5,iOS,Delivery,26.47,5.4,40508,3089,6.10845,3269,62508.0,City - Large
541,4.9,16.883,12.417,iOS,Delivery,25.96,4.0,40508,3089,6.10845,3269,62508.0,City - Large
541,6.817,27.85,15.7,iOS,Delivery,30.86,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,4.3,22.2,16.017,iOS,Delivery,19.08,1.83,40508,3089,6.10845,3269,62508.0,City - Large
541,8.167,22.233,14.817,iOS,Delivery,23.08,2.71,40508,3089,6.10845,3269,62508.0,City - Large
541,6.7,26.633,15.667,iOS,Delivery,19.08,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,5.75,24.167,17.25,iOS,Delivery,89.87,10.92,40508,3089,6.10845,3269,62508.0,City - Large
541,1.817,26.367,14.3,iOS,Delivery,30.76,2.0,40508,3089,6.10845,3269,62508.0,City - Large
541,3.917,19.167,11.667,iOS,Delivery,14.98,2.0,40508,3089,6.10845,3269,62508.0,City - Large
541,4.983,38.317,17.3,iOS,Delivery,40.16,5.28,40508,3089,6.10845,3269,62508.0,City - Large
541,0.583,13.583,8.767,iOS,Delivery,37.06,5.0,40508,3089,6.10845,3269,62508.0,City - Large
541,1.367,26.067,19.583,iOS,Delivery,30.47,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,2.35,24.683,10.467,iOS,Delivery,24.07,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,0.65,23.633,14.1,iOS,Delivery,32.96,6.59,40508,3089,6.10845,3269,62508.0,City - Large
541,3.833,,12.583,iOS,Delivery,31.75,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,9.717,29.733,20.05,Android,Delivery,23.08,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,7.9,30.917,20.367,Android,Delivery,41.06,3.12,40508,3089,6.10845,3269,62508.0,City - Large
541,20.75,,34.767,Grubhub,Delivery,19.27,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,279.6,,289.583,Grubhub,Delivery,19.27,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,17.117,,29.05,DoorDash,Delivery,17.89,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,53.783,,66.1,DoorDash,Delivery,17.09,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,302.9,,310.317,DoorDash,Delivery,13.37,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,188.183,,196.217,DoorDash,Delivery,21.38,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,212.133,,221.983,DoorDash,Delivery,55.22,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,82.683,,93.35,DoorDash,Delivery,58.65,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,16.95,,26.367,DoorDash,Delivery,12.27,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,25.967,,38.267,DoorDash,Delivery,28.43,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,7.2,,13.667,DoorDash,Delivery,15.48,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,68.3,,79.667,DoorDash,Delivery,15.99,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,276.933,,283.983,DoorDash,Delivery,20.06,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,47.083,,57.1,DoorDash,Delivery,25.65,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,126.967,,134.683,DoorDash,Delivery,22.98,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,137.45,,151.483,DoorDash,Delivery,21.08,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,78.917,,85.583,DoorDash,Delivery,8.99,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,14.133,,22.117,DoorDash,Delivery,25.05,0.0,40508,3089,6.10845,3269,62508.0,City - Large
