,Store_dma_id,Rack_time,To_the_door_time,Otd_time,Source_actor,Destination_type,Subtotal_amount_USD,Tip_USD
179,541,212.133,,221.983,DoorDash,Delivery,55.22,0.0
180,541,82.683,,93.35,DoorDash,Delivery,58.65,0.0
181,541,16.95,,26.367,DoorDash,Delivery,12.27,0.0
182,541,25.967,,38.267,DoorDash,Delivery,28.43,0.0
183,541,7.2,,13.667,DoorDash,Delivery,15.48,0.0
184,541,68.3,,79.667,DoorDash,Delivery,15.99,0.0
185,541,276.933,,283.983,DoorDash,Delivery,20.06,0.0
186,541,47.083,,57.1,DoorDash,Delivery,25.65,0.0
187,541,126.967,,134.683,DoorDash,Delivery,22.98,0.0
188,541,137.45,,151.483,DoorDash,Delivery,21.08,0.0
189,541,78.917,,85.583,DoorDash,Delivery,8.99,0.0
190,541,14.133,,22.117,DoorDash,Delivery,25.05,0.0
191,541,25.433,,37.383,DoorDash,Delivery,17.04,0.0
192,541,101.15,,110.117,DoorDash,Delivery,30.37,0.0
193,541,15.217,,26.65,PapaCall,Carryout,14.68,0.0
194,541,133.533,,139.867,PapaCall,Carryout,14.09,0.0
195,541,41.017,,55.617,PapaCall,Carryout,14.68,0.0
196,541,2.25,,13.617,PapaCall,Carryout,35.86,0.0
197,541,10.133,,17.717,PapaCall,Carryout,28.18,0.0
198,541,1.183,22.883,11.8,PapaCall,Delivery,47.04,0.0
199,541,0.967,14.717,8.35,PapaCall,Delivery,22.88,0.0
200,541,6.767,22.267,17.417,PapaCall,Delivery,34.35,0.0
201,541,0.583,20.233,8.45,PapaCall,Delivery,18.67,0.0
202,541,1.533,22.15,12.2,PapaCall,Delivery,42.06,0.0
203,541,0.483,16.433,9.967,PapaCall,Delivery,39.73,0.0
204,541,9.117,28.533,20.933,PapaCall,Delivery,29.24,4.0
205,541,2.9,22.433,16.8,PapaCall,Delivery,27.36,0.0
206,541,8.167,28.317,19.65,PapaCall,Delivery,26.28,0.0
207,541,0.6,,11.75,PapaCall,Delivery,15.16,0.0
208,541,1.967,23.417,14.35,PapaCall,Delivery,54.74,0.0
209,541,1.4,19.133,9.617,PapaCall,Delivery,23.26,0.0
210,541,8.867,35.283,20.65,PapaCall,Delivery,19.07,1.0
211,541,7.25,33.283,16.467,PapaCall,Delivery,18.87,3.0
212,541,9.683,28.65,20.017,PapaCall,Delivery,29.14,0.0
213,541,,,0.0,In Person,Carryout,2.99,0.0
214,541,-0.017,,8.083,In Person,Carryout,29.77,0.0
215,541,-0.017,,6.083,In Person,Carryout,8.99,1.42
216,541,0.0,,7.1,In Person,Carryout,11.09,0.0
217,541,-0.017,,6.1,In Person,Carryout,9.49,0.0
218,541,-0.017,,9.75,In Person,Carryout,22.5,0.0
219,541,68.117,,79.467,Uber Eats,Delivery,15.49,0.0
220,541,0.917,,10.1,Uber Eats,Delivery,33.68,0.0
221,541,4.083,,13.967,Uber Eats,Delivery,13.75,0.0
222,541,69.433,,80.267,Uber Eats,Delivery,25.36,0.0
